sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"And yet he 'd disappeared , without trace .",0,4,disappear,verb,Cease to be visible.,he disappeared into the trees
One advantage is the ability to model a range of alternatives by allowing particular criteria to enter or be omitted from the polygon overlay operation .,0,19,omit,verb,"Leave out or exclude (someone or something), either intentionally or forgetfully.",he was omitted from the second Test
Why did n't you want to buy the same one again mum ?,0,6,buy,verb,Obtain in exchange for payment.,she bought six first-class stamps
She says to me I 've explained to her how to do it and she says I 'll give you a bit of paper you just write down the answers !,0,26,write,verb,"Mark (letters, words, or other symbols) on a surface, typically paper, with a pen, pencil, or similar implement.",he wrote his name on the paper
"The material on which the information is printed , the typeface used , the sequence , the structure and the format generally should reflect the conditions of use , ( Easterby and Zwaga , 1984 ) .",1,23,reflect,verb,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun's rays hit the Earth a lot of the heat is reflected back into space
"It was a substantial , two-storey , L-shaped house standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .",0,22,render,verb,"Provide or give (a service, help, etc.)",money serves as a reward for services rendered
"Now , however , it seems , the wheel has turned full circle .",1,10,turn,verb,Move in a circular direction wholly or partly round an axis or point.,the big wheel was turning
"They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story .",1,26,get,verb,Come to have (something); receive.,I got a letter from him the other day
Isobel wants,0,1,want,verb,Have a desire to possess or do (something); wish for.,I want an apple
"As Perry and others have noted , relatively few resources are devoted to the first two aspects , the bulk going to response and restoration ( rebuilding ) .",0,20,go,verb,Move from one place to another; travel.,he went out to the shops
"Let us hope that G1S can , in some small way , help mitigate the suffering and hardship felt by all those afflicted by the effects of hazards which , as we have learnt with bitter recent experience in the UK , can occur in an untimely fashion in the most improbable of places .",0,0,let,verb,Not prevent or forbid; allow.,my boss let me leave early
"Even if lead levels in the atmosphere do not bother you , I am sure you will find the fact that unleaded petrol is 15p cheaper , and that diesel fuel boosts mpg by at least a third , most interesting .",0,9,bother,verb,Take the trouble to do something.,scientists rarely bother with such niceties
"Precautions will not conquer empires , they will not build great cities , they will not transmute dreams into gold or carry men across wide oceans , and precautions will not , emphatically not , win fair ladies , and here he turned to Ellen and lasciviously dropped his gaze to her long bare legs .",0,42,turn,verb,Move in a circular direction wholly or partly round an axis or point.,the big wheel was turning
They were expensive to buy and came a day late .,1,6,come,verb,Move or travel towards or into a place thought of as near or familiar to the speaker.,Jessica came into the kitchen
"Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , the official statement announced .",0,5,inform,verb,Give (someone) facts or information; tell.,"he wrote to her, informing her of the situation"
"The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost in frozen motion .",0,17,preserve,verb,Maintain (something) in its original or existing state.,all records of the past were zealously preserved
"Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the situation being exploited for a joke by your advertisement : Just the thing now the evenings are drawing in .",0,48,see,verb,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
"Elinor was sometimes at a loss for the right word , or name , and then became impatient with herself ; she was often frustrated because she could n't move as swiftly as she did before .",0,16,become,verb,Begin to be.,she became angry and sulked all day
We seem to have got one spare video if we do n't get it watched before Wednesday .,0,12,get,verb,Come to have (something); receive.,I got a letter from him the other day
"Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .",0,5,ensure,verb,Make certain that (something) will occur or be the case.,the client must ensure that accurate records are kept
He laughed .,0,1,laugh,verb,Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of derision.,he rarely smiled or laughed
and it does mean that they can relax you know about work and everything,0,9,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"You know I mean other than that , no I mean it it 's not as if",0,1,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"She was in hospital for six weeks , and I was the only one who knew it was n't an accident .",0,15,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course .,1,20,acquire,verb,Buy or obtain (an asset or object) for oneself.,I managed to acquire all the books I needed
It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,0,41,repair,verb,"Restore (something damaged, faulty, or worn) to a good condition.",faulty electrical appliances should be repaired by an electrician
They did n't want the Yanks stumbling in and screwing up in an attempt to force the issue .,0,3,want,verb,Have a desire to possess or do (something); wish for.,I want an apple
And do n't forget we 're going down the fracture clinic Alison !,0,3,forget,verb,Fail to remember.,he had forgotten his lines
"I 'm afraid it 's true , Mrs Carson told them .",0,9,tell,verb,Communicate information to someone in spoken or written words.,I told her you were coming
You 're going to watch Rosie and Jim dear .,0,4,watch,verb,Look at or observe attentively over a period of time.,Lucy watched him go
"Charlotte please do n't talk with your mouth full , there 's a good girl .",0,1,please,verb,Cause to feel happy and satisfied.,he arranged a fishing trip to please his son
"When we 've had half a whole , I 'm thinking half a whole",0,10,think,verb,"Have a particular opinion, belief, or idea about someone or something.",she thought that nothing would be the same again
He became Robert of Jerusalem to his contemporaries ; his deeds were recorded in the Song of Antioch ; his pious bravery totally expunged the memory of Robert the Frisian 's usurpation ; and after his death his son Baldwin VII harped on his father 's achievement to justify his substantial use of coercion against the enemies of the church .,0,48,justify,verb,Show or prove to be right or reasonable.,the person appointed has fully justified our confidence
"You are letting this disappointment and that 's all it is , you 're still a very well-off young woman get in the way of everything .",1,2,let,verb,Not prevent or forbid; allow.,my boss let me leave early
Under his arm he carried a folded newspaper with that day 's headline : PEACE MOTHER DIES .,0,4,carry,verb,Support and move (someone or something) from one place to another.,medics were carrying a wounded man on a stretcher
Eating eating all day long overlap,0,5,overlap,verb,Extend over so as to cover partly.,the canopy overlaps the house roof at one end
"While the first wave of popular interest arose with the 1982 Whitechapel exhibition instigated by Laura Mulvey and Peter Wollen , it was the publication of Hayden Herrera 's biography of Kahlo in 1983 which has led to her current cult status .",1,7,arise,verb,"(of a problem, opportunity, or situation) emerge; become apparent.",new difficulties had arisen
"Since many kinds of trilobites co-existed at any one time they were probably occupying different ecological niches , behaving in different ways , corresponding with the wide variation in shape that they show .",1,13,occupy,verb,Reside or have one's place of business in (a building),the rented flat she occupies in Hampstead
"So I said er but I know you 're off to Torquay on Friday with Di , cos that 's him hinting , thank God it 's out !",0,6,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
You never want to make a man the centre of your existence .,0,2,want,verb,Have a desire to possess or do (something); wish for.,I want an apple
"In these circumstances , it is scarcely surprising that there is evidence of international and interdisciplinary dispute , as Terney ( 1989 ) has chronicled in regard to IGBP .",0,24,chronicle,verb,Record (a series of events) in a factual and detailed way.,his work chronicles 20th-century migration
Those not involved find it difficult to gain very much from a presentation of a task description .,0,2,involve,verb,Have or include (something) as a necessary or integral part or result.,my job involves a lot of travelling
"We goes up town the following week then to get and I forget what I was looking for , oh it was I was looking for your blouse",1,5,follow,verb,Go or come after (a person or thing proceeding ahead); move or travel behind.,"she went back into the house, and Ben followed her"
"I mean I did have some of the boxes in there until I sort of , thought while I was sorting things out .",0,1,mean,verb,Intend to convey or refer to (a particular thing); signify.,I don't know what you mean
But I can understand how you feel .,1,6,feel,verb,Be aware of (a person or object) through touching or being touched.,she felt someone touch her shoulder
"It was , he judged , almost twenty feet long and obviously served the triple purpose of sitting room , working place and office .",0,4,judge,verb,Form an opinion or conclusion about.,a production can be judged according to the canons of aesthetic criticism
"Was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?",1,30,hold,verb,"Grasp, carry, or support with one's hands.",she was holding a brown leather suitcase
"Had either of the teams won , they would have taken the League leadership .",1,10,take,verb,Lay hold of (something) with one's hands; reach for and hold.,Mrs Morgan took another biscuit
Law conceived of the role of the leader in an exactly opposite sense from Balfour : he sought to foster unity by placing himself at the head of the discordant elements where Balfour had thrown the leadership on the side of restraint .,1,17,seek,verb,Attempt to find (something),they came here to seek shelter from biting winter winds
"He described being taken over the years to see his sick , and finally dying and almost certainly innocent father in another prison .",0,8,see,verb,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
daddy,0,0,daddy,verb,,
She sat down and prepared to wait as long as was necessary .,0,4,prepare,verb,Make (something) ready for use or consideration.,prepare a brief summary of the article
"A mile above the shepherd 's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road , hidden deep in the folds of the moors .",1,9,cease,verb,Come or bring to an end.,the hostilities ceased and normal life was resumed
"It turns out that our animal was able to see in almost every direction upwards , downwards , sideways and forwards , and even backwards , because the eyes bulged out beyond the line of the rest of the body .",1,1,turn,verb,Move in a circular direction wholly or partly round an axis or point.,the big wheel was turning
The techniques just described are no more than guidelines in what remains the creative art of studying and describing what an experienced worker is doing or will be required to do .,0,11,remain,verb,"Continue to exist, especially after other similar people or things have ceased to do so.",a cloister is all that remains of the monastery
I mean I 'm not saying he 's alcoholic but he goes out with the lads and he you know he 'll he 'll sort of thud up the stairs .,0,19,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"Like many young American composers he studied with Nadia Boulanger , but after 1925 set out to achieve the discipline of spontaneity which he found in Stein 's writings .",1,24,find,verb,Discover or perceive by chance or unexpectedly.,Lindsey looked up to find Neil watching her
"As Gilda held out her glass to be refilled , she added reflectively , Although you seem more lonely than horny .",0,16,seem,verb,Give the impression of being something or having a particular quality.,Dawn seemed annoyed
"Harsh measures putting an entire community under an absolute curfew for a continuous lengthy period of time , demolishing homes , uprooting olive or citrus trees , physical intimidation and terror tactics employed by raiding army units , shooting , killing , cutting off water or electricity supplies and telephone links to villages or towns , mass arrests , intimidatory interrogation techniques can either create a temporary lull or activate an eruption .",0,21,uproot,verb,"Pull (something, especially a tree or plant) out of the ground.",the elephant's trunk is powerful enough to uproot trees
"Moreover , the advent of low-cost , high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power : a CD-ROM , for instance , can hold about 600 megabytes ( i.e. 10&sup6 ; bytes ) , can be reproduced currently for about Ì´å£1 and read on a device costing about Ì´å£400 .",0,16,set,verb,"Put, lay, or stand (something) in a specified place or position.",Delaney set the mug of tea down
"We want everyone to be licensed , but the Government did n't think it necessary .",1,12,think,verb,"Have a particular opinion, belief, or idea about someone or something.",she thought that nothing would be the same again
It does n't matter what ?,0,3,matter,verb,Be important or significant.,it doesn't matter what the guests wear
"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West , including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany .",0,20,include,verb,Comprise or contain as part of a whole.,"the price includes dinner, bed, and breakfast"
He does n't know the inside track any more than Klepner .,0,3,know,verb,"Be aware of through observation, inquiry, or information.",most people know that CFCs can damage the ozone layer
"However , Caithness himself stated that this first selection was in no way a definitive list",0,4,state,verb,Express something definitely or clearly in speech or writing.,the report stated that more than 51 per cent of voters failed to participate
You could feel the atmosphere when you were sat in the car .,0,8,sit,verb,Adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright.,I sat next to him at dinner
"Catch it , one two three catch it , one two three .",0,0,catch,verb,"Intercept and hold (something which has been thrown, propelled, or dropped)",she threw the bottle into the air and caught it again
I thought,0,1,think,verb,"Have a particular opinion, belief, or idea about someone or something.",she thought that nothing would be the same again
"As for his colleagues , Mr Smith said : We 're all agreed that we can not spend what we have not earned and we intend to earn it before we spend it .",0,27,earn,verb,Obtain (money) in return for labour or services.,I earned £10 an hour working in the shop
In the centre of the room was a large wooden table holding a stoneware jar of dried flowers .,1,11,hold,verb,"Grasp, carry, or support with one's hands.",she was holding a brown leather suitcase
"Nell would never rest until she could get closer to confirm her worst suspicions , and paradoxically it was the woman in her that provided the intensity of emotion that would let nothing stand in her way .",0,24,provide,verb,Make available for use; supply.,these clubs provide a much appreciated service for this area
"It is difficult to see how the compact feet of the sauropod could avoid becoming stuck fast in the soft , muddy bottom of a lake .",1,4,see,verb,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
It 's just that I can actually hear it .,0,7,hear,verb,Perceive with the ear the sound made by (someone or something),behind her she could hear men's voices
"Oldham took up the attack again and Barlow , who had a fine match at left-back , totally containing Rocastle , floated in a deep cross beyond Winterburn .",1,21,float,verb,Rest or move on or near the surface of a liquid without sinking.,"she relaxed, floating gently in the water"
"Notwithstanding current problems which they discussed lightly , it had all been wonderful .",0,5,discuss,verb,Talk about (something) with a person or people.,I discussed the matter with my wife
"An argument by many atmospheric physicists , for example , is that shortcomings in the accuracy of weather prediction over periods of more than a few days largely results from the unsophisticated nature of existing models , the lack of suitable data and inadequate computer power ( see Fig. 9.3 , derived from Tyler 1989 ) .",0,47,see,verb,Perceive with the eyes; discern visually.,in the distance she could see the blue sea
Property : Do n't let yourself in for trouble Choosing the right agent is essential if you want to rent your property .,0,19,rent,verb,"Pay someone for the use of (something, typically property, land, or a car)",they rented a house together in Sussex
"First , attention should be drawn to the new directive from the Department of Health to regional and district health authorities to review the health of the population .",1,5,draw,verb,"Produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc.",he drew a map
"But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational , uncivilized , and criminal instincts .",1,7,remain,verb,"Continue to exist, especially after other similar people or things have ceased to do so.",a cloister is all that remains of the monastery
And she said he has to go trotting to Exeter two or three times a week now .,0,2,say,verb,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
He glanced at the paint pot and brush that I was still holding .,0,1,glanced,verb,Take a brief or hurried look.,Ginny glanced at her watch
No other data collection methodology obviates the short distance variation in data sets induced by variations in data collection and aggregation methodology typically encountered between adjacent nation states .,0,5,obviate,verb,Remove (a need or difficulty),the presence of roller blinds obviated the need for curtains
"The unavoidable reliance upon existing data sets led to many problems due to non-harmonization even of commonly used variables , e.g. eight different definitions of potential evapo-transpiration were in use in the Member States and maximum temperature at each weather station was defined in at least four different ways ;",0,7,lead,verb,"Cause (a person or animal) to go with one by holding them by the hand, a halter, a rope, etc. while moving forward.",she emerged leading a bay horse
"Meadowell has even discovered a new martyr in the shape of one Willy Hunter , a local hard nut awaiting trial for murder , and allegedly the victim of a police frame-up .",0,19,await,verb,Wait for (an event),we await the proposals with impatience
Oh I need some,0,2,need,verb,Require (something) because it is essential or very important rather than just desirable.,I need help now
Why they keep on making new bulbs ?,1,4,make,verb,Form (something) by putting parts together or combining substances; create.,my grandmother made a dress for me
What else do I need ?,0,4,need,verb,Require (something) because it is essential or very important rather than just desirable.,I need help now
"Anyway , so erm he said , but you know he was saying to them that er , it 's not just at the bottom end , he said , in our village in Wales we 've got the Sun have now positioned two reporters who have lived in the village the these they sit in a car outside his house day and night",0,5,say,verb,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
I 've told you what we 're gon na for Christopher have n't I ?,0,2,tell,verb,Communicate information to someone in spoken or written words.,I told her you were coming
Well well he has n't got a father so he regards you does n't he ?,1,5,get,verb,Come to have (something); receive.,I got a letter from him the other day
"Francis Morgan stood and stared at them , and even before the man stepped forward steadily , hand extended , mouth opening to speak , he understood who they were and what they had come to tell him .",0,34,come,verb,Move or travel towards or into a place thought of as near or familiar to the speaker.,Jessica came into the kitchen
The doorbell sounded .,0,2,sound,verb,Emit or cause to emit sound.,a loud buzzer sounded
"But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational , uncivilized , and criminal instincts .",1,25,drive,verb,Operate and control the direction and speed of a motor vehicle.,he got into his car and drove off
I thought it would be,0,1,think,verb,"Have a particular opinion, belief, or idea about someone or something.",she thought that nothing would be the same again
"For instance , one hypothesis concerns the role of electromagnetic radiation , a source of which is overhead high-voltage transmission lines as noted earlier .",0,5,concern,verb,Relate to; be about.,the story concerns a friend of mine
The only thing you can be sure of is that US interest will always come first .,1,14,come,verb,Move or travel towards or into a place thought of as near or familiar to the speaker.,Jessica came into the kitchen
Probably the best illustration of the assisting method in action during the course comes in the fifth session when Somerset practitioners take the logic of working with the problem in the community to its ultimate conclusion .,0,6,assist,verb,"Help (someone), typically by doing a share of the work.",a senior academic would assist him in his work
"The man , a stocky , greying fifty-year-old in a navy raincoat over a suit , his hair cut short , was attended by a uniformed policewoman , hair smartly set under the cap , her eyes watchful in the wide , flat , placid face , and both of them were standing square and stolid .",0,30,set,verb,"Put, lay, or stand (something) in a specified place or position.",Delaney set the mug of tea down
"Sorge looked round the table , saw their undisguised curiosity .",0,1,look,verb,Direct one's gaze toward someone or something or in a specified direction.,people were looking at him
They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits ; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles .,1,1,offer,verb,Present or proffer (something) for (someone) to accept or reject as desired.,may I offer you a drink?
"Last week he promised to supply us with a written explanation of the way his company had treated Debbie , but it never arrived .",0,3,promise,verb,Assure someone that one will definitely do something or that something will happen.,he promised to forward my mail
Cos we 've got the AGM in two weeks time,1,3,get,verb,Come to have (something); receive.,I got a letter from him the other day
Well I reckon she lived er a couple of years after the stroke Gordon .,0,4,live,verb,Remain alive.,I'll never forget it as long as I live
"But now yeah it took him a while to calm down but he 's a very nice fellow now , very nice chap .",0,9,calm,verb,Make (someone) tranquil and quiet; soothe.,I took him inside and tried to calm him down
"Drawing , oh well !",1,0,drawing,verb,"Produce (a picture or diagram) by making lines and marks on paper with a pencil, pen, etc.",he drew a map
"Yeah but , I mean , people are allowed now to put their own in are n't they ?",0,11,put,verb,Move to or place in a particular position.,I put my hand out towards her
I can not honestly see that a system which would require us to compromise the morning after the election is really so morally inferior to a system which has already obliged us to compromise our policies two years before polling day .,0,10,require,verb,Need for a particular purpose.,three patients required operations
"Since 1986 Rytasha has broken awayfrom her guru and set up on her own with a charity called Food Relief International , which raises money from the fiercely competitive matrons of Palm Beach and distributes it to the starving people of Bangladesh .",1,4,break,verb,"Separate or cause to separate into pieces as a result of a blow, shock, or strain.",the branch broke with a loud snap
"A royal banner now bestowed respectability on a cause ; kings ' wars were assumed to be for the sake of peace , even when cripplingly expensive and increasingly savage .",1,4,bestow,verb,"Confer or present (an honour, right, or gift)",the office was bestowed on him by the monarch of this realm
"The house that when he first saw it had seemed to float on a raft of golden mist , now lay in a wilderness , amidst ragged grass and straggling bushes and trees dead from the heat .",1,20,lie,verb,(of a person or animal) be in or assume a horizontal or resting position on a supporting surface.,the body lay face downwards on the grass
"Finally , after the third month passed with no rent received , Debbie phoned the tenants , asked them to pay her directly , and sent Landlords a recorded-delivery letter , which was returned , and finally one by ordinary post stating that Landlords were no longer employed as the managing agents .",1,6,pass,verb,Move or cause to move in a specified direction.,he passed through towns and villages
This chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were encountered .,1,27,encounter,verb,Unexpectedly be faced with or experience (something hostile or difficult),we have encountered one small problem
"The 1964 Labour Government was elected on a tide of impatience at the slackening pace of social reform , but also of optimism that little more than economic growth , fuelled by technological change , was needed to remove the main causes of urban deprivation ( MacGregor , 1981 ) .",0,36,need,verb,Require (something) because it is essential or very important rather than just desirable.,I need help now
"After being given clearance to land , Miranda , following her instructor 's directions , started her approach ; she throttled back to reduce speed and control her descent as she flew towards the threshold the point just before she intended to touch down .",1,2,give,verb,Freely transfer the possession of (something) to (someone),she gave him presents and clothes
"The findings were documented in a report A Place For All Our Children ( CCUF 1983 ) and an analysis was prepared of the practical and bureaucratic problems in gaining an ordinary childcare place for a child with special needs , with suggestions for how these might be overcome .",0,29,gain,verb,Obtain or secure (something wanted or desirable),we gained entry to the car in five seconds
I promise .,0,1,promise,verb,Assure someone that one will definitely do something or that something will happen.,he promised to forward my mail
"Sir : I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold on ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media .",0,48,ignore,verb,Refuse to take notice of or acknowledge; disregard intentionally.,he ignored her outraged question
Anything goes fast after Friday .,1,1,go,verb,Move from one place to another; travel.,he went out to the shops
The process becomes demand driven by the user .,0,2,become,verb,Begin to be.,she became angry and sulked all day
"Davis , of course , would have walked into England 's team in Poland a week on Wednesday ; until last season 's prolonged suspension , followed by injury , Bobby Robson had him firmly pencilled in as Bryan Robson 's replacement .",1,7,walk,verb,"Move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once.",I walked across the lawn
The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area .,0,16,alert,verb,Warn (someone) of a danger or problem.,he alerted people to the dangers of smoking
"She says the Colonel 's taken up petit point , and Miss Hawkins is teaching him .",0,5,take,verb,Lay hold of (something) with one's hands; reach for and hold.,Mrs Morgan took another biscuit
"Yet given what we have learned about links between the security services and the Loyalist paramilitaries in Northern Ireland , and the deep suspicion about surrogate murders , you ca n't shrug off the shiver Conlon 's words bring .",0,34,shiver,verb,"Shake slightly and uncontrollably as a result of being cold, frightened, or excited.",they shivered in the damp foggy cold
"IT SEEMS that Roland Franklin , the latest unbundler to appear in the UK , has made a fatal error in the preparation of his Ì´å£697m break-up bid for stationery and packaging group DRG .",0,1,seems,verb,Give the impression of being something or having a particular quality.,Dawn seemed annoyed
I think we owe it to that pathetic creature in there .,1,3,owe,verb,"Have an obligation to pay or repay (something, especially money) in return for something received.",they have denied they owe money to the company
Each of these may be further subdivided and the typology shown in Fig. 10.1 draws upon the classic work of Burton and Kates ( 1964 ) in separating geophysical from biological hazards and Zeigler et al. ( 1983 ) in distinguishing public ( or what we might call societal ) hazards from private ( individual ) ones .,0,6,subdivide,verb,Divide (something that has already been divided or that is a separate unit),the heading was subdivided into eight separate sections
You might have assumed this was the police bluffing and bullying .,1,3,assume,verb,"Suppose to be the case, without proof.",topics which assume detailed knowledge of local events
Have you got,0,2,get,verb,Come to have (something); receive.,I got a letter from him the other day
"Keller was made a Steward of Henley Royal Regatta in 1976 , a time when the proliferation of new six-lane , still-water courses around the world , which had emerged under his guidance , seemed a threat to the regatta founded in 1829 .",0,34,seem,verb,Give the impression of being something or having a particular quality.,Dawn seemed annoyed
The increased scale of operations also ushered in another fashion of the 1980s new management structures .,1,6,usher,verb,Show or guide (someone) somewhere.,a waiter ushered me to a table
"This mixture , heated by recession and high unemployment , inevitably generates a high level of crime .",1,3,heated,verb,Make or become hot or warm.,the room faces north and is difficult to heat
"There 's Sean O'Farrell and the master left in a hurry this hour past for New York City , both without a bite inside them and now you .",0,7,leave,verb,Go away from.,she left London on June 6
"It was Grizel Huntley 's own view that her brother had not been fooled at all but had been charmed and diverted by a dashing girl thirty years his junior , and had seen no reason at all why she should not have a share of his considerable estate when that left a very decent down-setting for his niece as well .",1,21,divert,verb,Cause (someone or something) to change course or turn from one direction to another.,a scheme to divert water from the river to irrigate agricultural land
"She keeps kicking her legs and going , ah , ah .",0,2,kick,verb,Strike or propel forcibly with the foot.,I kicked the ball up into the air
A new canvass system was introduced in 1911 so that all county constituencies would operate the same system and so that duplicate records could be kept at area level .,1,5,introduce,verb,"Bring (something, especially a product, measure, or concept) into use or operation for the first time.",various new taxes were introduced
"He sat down and saw a bifurcated path , simmering with gold heat round and under the rising , spreading blue-black-green down-pointing vanes of a great pine , still widening where the frame interrupted its soaring .",1,19,spread,verb,"Open out (something) so as to extend its surface area, width, or length.",I spread a towel on the sand and sat down
Additional algorithms are used to model total building damage costs for each grid cell based on water-depth and speed-depth rating curves .,0,5,model,verb,Fashion or shape (a three-dimensional figure or object) in a malleable material such as clay or wax.,use the icing to model a house
"Its significance lies in its double message : that the aim of the Palestinian struggle is the establishment of Palestinian independence , and that this independence is regarded as being not at Israel 's expense .",1,27,regard,verb,Consider or think of in a specified way.,she regarded London as her base
Henning Albrechsten reckons that it takes three years for a telecottage to be able to function without subsidy .,0,15,function,verb,Work or operate in a proper or particular way.,her liver is functioning normally
"the rain came down and the floods came up and the house on the rocks slid down , but the foolish man built his house upon the sand , the foolish man built his house upon the sand , the foolish man built his house upon the sand and the rain came tumbling down",0,22,build,verb,Construct (something) by putting parts or material together.,the ironworks were built in 1736
"Mr Hattersley said giving disproportionate power to small , minority centre parties would not improve democracy .",0,2,say,verb,"Utter words so as to convey information, an opinion, a feeling or intention, or an instruction.","‘Thank you,’ he said"
You do n't get nothing on them chickens ?,0,3,get,verb,Come to have (something); receive.,I got a letter from him the other day
"Harsh measures putting an entire community under an absolute curfew for a continuous lengthy period of time , demolishing homes , uprooting olive or citrus trees , physical intimidation and terror tactics employed by raiding army units , shooting , killing , cutting off water or electricity supplies and telephone links to villages or towns , mass arrests , intimidatory interrogation techniques can either create a temporary lull or activate an eruption .",1,69,activate,verb,Make (something) active or operative.,fumes from cooking are enough to activate the alarm
