sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",1,9,vividly,ADV,"In a way that produces powerful feelings or strong, clear images in the mind.",Margaret remembers vividly the day she received the grim news
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",0,22,already,ADV,Before or by now or the time in question.,Anna has suffered a great deal already
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",0,30,primarily,ADV,For the most part; mainly.,around 80 per cent of personal computers are used primarily for word processing
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",0,35,even,ADV,Used to emphasize something surprising or extreme.,they have never even heard of the United States
"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",0,36,when,ADV,At what time.,when did you last see him?
"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",0,0,There,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",0,22,too,ADV,"To a higher degree than is desirable, permissible, or possible; excessively.",he was driving too fast
"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",0,23,sketchily,ADV,,
"Meanwhile , at his public school , Francis is conducting a love-affair with an older pupil named Keith Ogilvie .",0,0,Meanwhile,ADV,In the intervening period of time.,"meanwhile, I will give you a prescription for some pills"
"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",0,2,finally,ADV,"After a long time, typically when there has been difficulty or delay.",he finally arrived to join us
"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",0,17,Ã¢ÂÂ,ADV,,
"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",0,22,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",0,25,how,ADV,In what way or manner; by what means.,how does it work?
His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .,0,6,as,ADV,Used in comparisons to refer to the extent or degree of something.,go as fast as you can
His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .,0,18,earlier,ADV,,
"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .",1,8,hysterically,ADV,With wildly uncontrolled emotion.,I started laughing hysterically
"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .",0,21,convincingly,ADV,,
Motion will have to do better than this if he seriously intends his series of novels to capture the feel of a period .,0,10,seriously,ADV,In a solemn or considered manner.,the doctor looked seriously at him
"He has , however , given him a psychotic compulsion to formulate fanciful similes .",0,3,however,ADV,Used to introduce a statement that contrasts with or seems to contradict something that has been said previously.,"People tend to put on weight in middle age. However, gaining weight is not inevitable"
"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",0,0,Hardly,ADV,Scarcely (used to qualify a statement by saying that it is true to an insignificant degree),the little house in which he lived was hardly bigger than a hut
"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",1,4,by,ADV,So as to go past.,a car flashed by on the other side of the road
"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",0,15,improbably,ADV,In an unexpected or unlikely manner.,monasteries perch improbably on crags and cliff tops
"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",0,19,else,ADV,,
Sometimes he is reminded of several things .,0,0,Sometimes,ADV,"Occasionally, rather than all of the time.",sometimes I want to do things on my own
"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",0,21,Ã¢ÂÂ,ADV,,
"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",0,31,finally,ADV,"After a long time, typically when there has been difficulty or delay.",he finally arrived to join us
"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",0,2,rapidly,ADV,Very quickly; at a great rate.,the business is expanding rapidly
PEOPLE tend to look vague when you mention Poitou .,0,5,when,ADV,At what time.,when did you last see him?
Ã¢ÂÂ Umm Ã¢ÂÂ¦ not a part of France we know Ã¢ÂÂ¦ where exactly is it ?,0,3,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
Ã¢ÂÂ Umm Ã¢ÂÂ¦ not a part of France we know Ã¢ÂÂ¦ where exactly is it ?,0,11,where,ADV,In or to what place or position.,where do you live?
Ã¢ÂÂ Umm Ã¢ÂÂ¦ not a part of France we know Ã¢ÂÂ¦ where exactly is it ?,0,12,exactly,ADV,Used to emphasize the accuracy of a figure or description.,they met in 1989 and got married exactly two years later
"Inland of La Rochelle , you say ; north of Cognac and east of Limoges .",0,8,north,ADV,To or towards the north.,the town is twenty-five miles north of Newport
"You sort of pass it without realising , going to the Dordogne .",0,1,sort,ADV,,
"You sort of pass it without realising , going to the Dordogne .",0,2,of,ADV,,
"Well , better than that , and one of the best things about it is the fact that so few people , except the French themselves , bother with it .",0,18,so,ADV,To such a great extent.,the words tumbled out so fast that I could barely hear them
"Even for France , the variety to be found is enormous .",0,0,Even,ADV,Used to emphasize something surprising or extreme.,they have never even heard of the United States
"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",1,12,humbly,ADV,In a way that shows or suggests a modest or low estimate of one's importance; meekly.,the servant bowed humbly before his master
"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",0,34,not,ADV,Used with an auxiliary verb or ‘be’ to form the negative.,he would not say
"For serious drinkers there is the production of cognac to investigate around Cognac , plus the chance to sample pineau , the powerful local aperitif made from young wine laced with cognac .",0,3,there,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",0,4,where,ADV,In or to what place or position.,where do you live?
"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",0,11,shapely,ADV,,
"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",0,16,almost,ADV,Not quite; very nearly.,he almost knocked Georgina over
"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",0,13,once,ADV,On one occasion or for one time only.,they deliver once a week
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,0,Now,ADV,At the present time or moment.,where are you living now?
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,6,pleasantly,ADV,In an enjoyable or agreeable manner.,the summer passed pleasantly
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,10,where,ADV,In or to what place or position.,where do you live?
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,20,hardly,ADV,Scarcely (used to qualify a statement by saying that it is true to an insignificant degree),the little house in which he lived was hardly bigger than a hut
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,37,rather,ADV,Used to indicate one's preference in a particular matter.,would you like some wine or would you rather stick to sherry?
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,45,where,ADV,In or to what place or position.,where do you live?
"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",0,47,first,ADV,,
"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",0,21,only,ADV,And no one or nothing more besides; solely.,there are only a limited number of tickets available
"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",0,37,mysteriously,ADV,"In a way that is difficult or impossible to understand, explain, or identify.",her boyfriend mysteriously disappeared
"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",0,41,only,ADV,And no one or nothing more besides; solely.,there are only a limited number of tickets available
"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",0,0,There,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",0,4,further,ADV,"At, to, or by a great distance (used to indicate the extent to which one thing is distant from another)",the house was not too far away
"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",0,5,south,ADV,To or towards the south.,they journeyed south along the valley
"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",0,36,where,ADV,In or to what place or position.,where do you live?
"It had a son to be proud of : Samuel Champlain , founder of Quebec , who was born there around 1569 .",0,19,there,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
She went there when her romance with the young king was quashed for political reasons .,0,2,there,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
She went there when her romance with the young king was quashed for political reasons .,0,3,when,ADV,At what time.,when did you last see him?
"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",0,1,later,ADV,At a time in the near future; soon or afterwards.,I'll see you later
"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",0,3,when,ADV,At what time.,when did you last see him?
"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",0,14,nostalgically,ADV,,
"As you come back from Brouage towards St Jean-d'Angely Ã¢ÂÂ on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult , with a lovely Romanesque church faade Ã¢ÂÂ a sign at the junction of the D122 points you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region : La Roche Courbon .",0,3,back,ADV,In the opposite direction from the one that one is facing or travelling towards.,he moved back a pace
"As you come back from Brouage towards St Jean-d'Angely Ã¢ÂÂ on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult , with a lovely Romanesque church faade Ã¢ÂÂ a sign at the junction of the D122 points you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region : La Roche Courbon .",0,41,improbably,ADV,In an unexpected or unlikely manner.,monasteries perch improbably on crags and cliff tops
"Its most surprising room , covered from ceiling to floor in 17th-century paintings , should be a salon or library ; instead , a dotty stone bathtub was set into one wall at a later date by a lady called Charlotte .",0,1,most,ADV,"Forming the superlative of adjectives and adverbs, especially those of more than one syllable.",the most important event of my life
"Its most surprising room , covered from ceiling to floor in 17th-century paintings , should be a salon or library ; instead , a dotty stone bathtub was set into one wall at a later date by a lady called Charlotte .",0,21,instead,ADV,As an alternative or substitute.,"do not use lotions, but put on a clean dressing instead"
"She never used it , having got some of the plumbing details wrong .",0,1,never,ADV,At no time in the past or future; not ever.,they had never been camping in their lives
"She never used it , having got some of the plumbing details wrong .",0,12,wrong,ADV,In an unsuitable or undesirable manner or direction.,what am I doing wrong?
"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",0,20,romantically,ADV,In a way that relates to love or sexual relationships.,he becomes romantically involved with the girl from the bank
"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",1,21,away,ADV,"To or at a distance from a particular place, person, or thing.","she landed badly, and crawled away"
"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",0,33,almost,ADV,Not quite; very nearly.,he almost knocked Georgina over
"Wriggling across country on the D216 to Port-d'Envaux , you come to two more chateaux : 18th-century Panloy , flaking romantically away on its hillock overlooking a bend in the Charente and , almost next door , the much older , moated Crazannes , half-smothered in amazing flamboyant Gothic carving .",0,38,much,ADV,To a great extent; a great deal.,did it hurt much?
Crossing the autoroute and turning north on the D127 brings you to St Jean-d'Angely by way of the isolated church of Fenioux .,0,5,north,ADV,To or towards the north.,the town is twenty-five miles north of Newport
"St Jean-d'Angely is a charming little town : there are good shops as well as half-timbered houses along its narrow old streets , one spanned by an ancient bell-tower .",0,8,there,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"St Jean-d'Angely is a charming little town : there are good shops as well as half-timbered houses along its narrow old streets , one spanned by an ancient bell-tower .",0,12,as,ADV,Used in comparisons to refer to the extent or degree of something.,go as fast as you can
"St Jean-d'Angely is a charming little town : there are good shops as well as half-timbered houses along its narrow old streets , one spanned by an ancient bell-tower .",0,13,well,ADV,In a good or satisfactory way.,the whole team played well
"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",0,0,There,ADV,"In, at, or to that place or position.",we went to Paris and stayed there ten days
"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",0,2,also,ADV,In addition; too.,"a brilliant linguist, he was also interested in botany"
"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",0,9,extremely,ADV,To a very great degree; very.,this is an extremely difficult thing to do
"There 's also a Renaissance fountain , and an extremely odd conglomeration of church buildings comprising one ancient ruin , one proper church , and the skeleton faade and nave of a rather pompous and unfinished 18th-century abbey .",0,32,rather,ADV,Used to indicate one's preference in a particular matter.,would you like some wine or would you rather stick to sherry?
"It makes a conveniently central hub : the Marais Poitevin village of Coulon is 27 miles to the north by the D120 , which inexplicably changes its number at the top of a hill to D115 .",0,3,conveniently,ADV,,
"It makes a conveniently central hub : the Marais Poitevin village of Coulon is 27 miles to the north by the D120 , which inexplicably changes its number at the top of a hill to D115 .",0,24,inexplicably,ADV,In a way that cannot be explained or accounted for.,many crucial documents had inexplicably disappeared
"Saintes , with Gallo-Roman remains , a beautiful Romanesque abbey and an atmospheric medieval quarter , is 17 miles south of St Jean ; 15-odd miles to the north-west is Surgeres , all of whose public buildings , including an engagingly asymmetrical church , are within the 16th-century castle walls , scattered among beautiful gardens and parkland Ã¢ÂÂ perfect for picnicking .",0,19,south,ADV,To or towards the south.,they journeyed south along the valley
"Ã¢ÂÂ Even salmon , he assured me , Ã¢ÂÂ but of course those are protected and must be thrown back .",0,1,Even,ADV,Used to emphasize something surprising or extreme.,they have never even heard of the United States
"Ã¢ÂÂ Even salmon , he assured me , Ã¢ÂÂ but of course those are protected and must be thrown back .",1,19,back,ADV,In the opposite direction from the one that one is facing or travelling towards.,he moved back a pace
"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",0,3,just,ADV,Exactly.,that's just what I need
"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",0,13,probably,ADV,Almost certainly; as far as one knows or can tell.,she would probably never see him again
"Biblical motifs recur Ã¢ÂÂ some art-experts call them sermons in stone , and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain .",0,16,certainly,ADV,Used to emphasize the speaker's belief that what is said is true.,the prestigious address certainly adds to the firm's appeal
"But these themes are always interspersed with more fanciful ones : grimacing masks , weird animals , exuberant abstract patterns .",0,4,always,ADV,At all times; on all occasions.,the sun always rises in the east
